id,label,shape,color,grid,loads
AH33 YN2,AH33 YN2,circle,YELLOW,YANBU NORTH2,75 A
AH37 YN2,AH37 YN2,circle,YELLOW,YANBU NORTH2,76 A
AH38 YN2,AH38 YN2,circle,YELLOW,YANBU NORTH2,77 A
AH39 YN2,AH39 YN2,circle,YELLOW,YANBU NORTH2,78 A
AH40 YN2,AH40 YN2,circle,YELLOW,YANBU NORTH2,79 A
AH41 YN2,AH41 YN2,circle,YELLOW,YANBU NORTH2,80 A
AH42 YN2,AH42 YN2,circle,YELLOW,YANBU NORTH2,81 A
AH44 YN2,AH44 YN2,circle,YELLOW,YANBU NORTH2,82 A
AH45 YN2,AH45 YN2,circle,YELLOW,YANBU NORTH2,83 A
AH46 YN2,AH46 YN2,circle,YELLOW,YANBU NORTH2,84 A
AH47 YN2,AH47 YN2,circle,YELLOW,YANBU NORTH2,85 A
AH48 YN2,AH48 YN2,circle,YELLOW,YANBU NORTH2,86 A
AH3 YCNT,AH3 YCNT,circle,gray,YANBU CENTRAL,87 A
AH5 YCNT,AH5 YCNT,circle,gray,YANBU CENTRAL,88 A
AH6 YCNT,AH6 YCNT,circle,gray,YANBU CENTRAL,89 A
AH7 YCNT,AH7 YCNT,circle,gray,YANBU CENTRAL,90 A
AH8 YCNT,AH8 YCNT,circle,gray,YANBU CENTRAL,91 A
AH11 YCNT,AH11 YCNT,circle,gray,YANBU CENTRAL,92 A
AH12 YCNT,AH12 YCNT,circle,gray,YANBU CENTRAL,93 A
AH13 YCNT,AH13 YCNT,circle,gray,YANBU CENTRAL,94 A
AH14 YCNT,AH14 YCNT,circle,gray,YANBU CENTRAL,95 A
AH15 YCNT,AH15 YCNT,circle,gray,YANBU CENTRAL,96 A
AH21 YCNT,AH21 YCNT,circle,gray,YANBU CENTRAL,97 A
AH22 YCNT,AH22 YCNT,circle,gray,YANBU CENTRAL,98 A
AH23 YCNT,AH23 YCNT,circle,gray,YANBU CENTRAL,99 A
AH24 YCNT,AH24 YCNT,circle,gray,YANBU CENTRAL,100 A
AH25 YCNT,AH25 YCNT,circle,gray,YANBU CENTRAL,101 A
AH26 YCNT,AH26 YCNT,circle,gray,YANBU CENTRAL,102 A
AH29 YCNT,AH29 YCNT,circle,gray,YANBU CENTRAL,103 A
AH30 YCNT,AH30 YCNT,circle,gray,YANBU CENTRAL,104 A
AH31 YCNT,AH31 YCNT,circle,gray,YANBU CENTRAL,105 A
AH32 YCNT,AH32 YCNT,circle,gray,YANBU CENTRAL,106 A
AH33 YCNT,AH33 YCNT,circle,gray,YANBU CENTRAL,107 A
AH34 YCNT,AH34 YCNT,circle,gray,YANBU CENTRAL,108 A
AH39 YCNT,AH39 YCNT,circle,gray,YANBU CENTRAL,109 A
AH40 YCNT,AH40 YCNT,circle,gray,YANBU CENTRAL,110 A
AH47 YCNT,AH47 YCNT,circle,gray,YANBU CENTRAL,111 A
AH49 YCNT,AH49 YCNT,circle,gray,YANBU CENTRAL,112 A
AH50 YCNT,AH50 YCNT,circle,gray,YANBU CENTRAL,113 A
AH51 YCNT,AH51 YCNT,circle,RED,YANBU EAST,114 A
AH52 YCNT,AH52 YCNT,circle,RED,YANBU EAST,115 A
K1 YE,K1 YE,circle,RED,YANBU EAST,116 A
K2 YE,K2 YE,circle,RED,YANBU EAST,117 A
K3 YE,K3 YE,circle,RED,YANBU EAST,118 A
K4 YE,K4 YE,circle,RED,YANBU EAST,119 A
K5 YE,K5 YE,circle,RED,YANBU EAST,120 A
K7 YE,K7 YE,circle,RED,YANBU EAST,121 A
K9 YE,K9 YE,circle,RED,YANBU EAST,122 A
K10 YE,K10 YE,circle,RED,YANBU EAST,123 A
K11 YE,K11 YE,circle,RED,YANBU EAST,124 A
K12 YE,K12 YE,circle,RED,YANBU EAST,125 A
K13 YE,K13 YE,circle,RED,YANBU EAST,126 A
K14 YE,K14 YE,circle,RED,YANBU EAST,127 A
K15 YE,K15 YE,circle,RED,YANBU EAST,128 A
K16 YE,K16 YE,circle,RED,YANBU EAST,129 A
K17 YE,K17 YE,circle,RED,YANBU EAST,130 A
K21 YE,K21 YE,circle,RED,YANBU EAST,131 A
K22 YE,K22 YE,circle,RED,YANBU EAST,132 A
K23 YE,K23 YE,circle,RED,YANBU EAST,133 A
K24 YE,K24 YE,circle,RED,YANBU EAST,134 A
K27 YE,K27 YE,circle,RED,YANBU EAST,135 A
K31 YE,K31 YE,circle,RED,YANBU EAST,136 A
K32 YE,K32 YE,circle,RED,YANBU EAST,137 A
K33 YE,K33 YE,circle,RED,YANBU EAST,138 A
K34 YE,K34 YE,circle,RED,YANBU EAST,139 A
K35 YE,K35 YE,circle,RED,YANBU EAST,140 A
K37 YE,K37 YE,circle,RED,YANBU EAST,141 A
K38 YE,K38 YE,circle,RED,YANBU EAST,142 A
K39 YE,K39 YE,circle,RED,YANBU EAST,143 A
K40 YE,K40 YE,circle,RED,YANBU EAST,144 A
K41 YE,K41 YE,circle,RED,YANBU EAST,145 A
AH4 YC,AH4 YC,circle,GREEN,YANBU CITY,146 A
AH5 YC,AH5 YC,circle,GREEN,YANBU CITY,147 A
AH6 YC,AH6 YC,circle,GREEN,YANBU CITY,148 A
AH7 YC,AH7 YC,circle,GREEN,YANBU CITY,149 A
AH8 YC,AH8 YC,circle,GREEN,YANBU CITY,150 A
AH9 YC,AH9 YC,circle,GREEN,YANBU CITY,151 A
AH11 YC,AH11 YC,circle,GREEN,YANBU CITY,152 A
AH12 YC,AH12 YC,circle,GREEN,YANBU CITY,153 A
AH13 YC,AH13 YC,circle,GREEN,YANBU CITY,154 A
AH14 YC,AH14 YC,circle,GREEN,YANBU CITY,155 A
AH15 YC,AH15 YC,circle,GREEN,YANBU CITY,156 A
AH21 YC,AH21 YC,circle,GREEN,YANBU CITY,157 A
AH22 YC,AH22 YC,circle,GREEN,YANBU CITY,158 A
AH23 YC,AH23 YC,circle,GREEN,YANBU CITY,159 A
AH24 YC,AH24 YC,circle,GREEN,YANBU CITY,160 A
AH26 YC,AH26 YC,circle,GREEN,YANBU CITY,161 A
AH29 YC,AH29 YC,circle,GREEN,YANBU CITY,162 A
AH30 YC,AH30 YC,circle,GREEN,YANBU CITY,163 A
AH31 YC,AH31 YC,circle,GREEN,YANBU CITY,164 A
AH32 YC,AH32 YC,circle,GREEN,YANBU CITY,165 A
AH33 YC,AH33 YC,circle,GREEN,YANBU CITY,166 A
AH34 YC,AH34 YC,circle,GREEN,YANBU CITY,167 A
AH35 YC,AH35 YC,circle,GREEN,YANBU CITY,168 A
AH39 YC,AH39 YC,circle,GREEN,YANBU CITY,169 A
AH40 YC,AH40 YC,circle,GREEN,YANBU CITY,170 A
AH41 YC,AH41 YC,circle,GREEN,YANBU CITY,171 A
AH42 YC,AH42 YC,circle,GREEN,YANBU CITY,172 A
AH43 YC,AH43 YC,circle,GREEN,YANBU CITY,173 A
AH45 YC,AH45 YC,circle,GREEN,YANBU CITY,174 A
AH46 YC,AH46 YC,circle,GREEN,YANBU CITY,175 A
AH47 YC,AH47 YC,circle,GREEN,YANBU CITY,176 A
AH48 YC,AH48 YC,circle,GREEN,YANBU CITY,177 A
AH49 YC,AH49 YC,circle,GREEN,YANBU CITY,178 A
AH50 YC,AH50 YC,circle,GREEN,YANBU CITY,179 A
